"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"

"Allnet_0c:ee:ed","Allnet_0c:f7:8c",187441,110594644,72688,4604730,114753,105989914,0,1120.10448,32887.860603860812,757000.19698162447
"Allnet_0c:f7:8c","Allnet_0c:f7:93",182309,100711526,77429,4899970,104880,95811556,0.094733999999999999,1120.005128,34999.625466000543,684365.12372825493
"Allnet_0c:f7:93","Tp-LinkT_d7:70:67",45869,458690,45790,457900,79,790,0.277584,1119.811516,3271.2648045316228,5.6438069350949593
"Tp-LinkT_d7:70:67","Tp-LinkT_d7:70:67",349,3490,349,3490,0,0,0.28425600000000001,1119.5688340000002,24.93817186768884,0
"Allnet_0c:ee:ed","Allnet_0c:f7:93",5585,109158,3633,61922,1952,47236,0.86230600000000002,1119.2119680000001,442.61142139609427,337.63756178847433
"Allnet_0c:f7:8c","Tp-LinkT_d7:70:67",86380,863800,85838,858380,542,5420,0.99644999999999995,1119.1075179999998,6136.1753804248874,38.745160141083076
"Allnet_0c:ee:ed","Tp-LinkT_d7:70:67",34087,340870,34020,340200,67,670,1.096778,1118.9718419999999,2432.2327853536822,4.7901115996089567
"Allnet_0c:f7:8c","Cisco_6d:7b:e0",8447,107384,6164,78170,2283,29214,0.405588,1118.9667259999999,558.87273988520735,208.86411952163806
"Allnet_0c:f7:93","Cisco_6d:7b:e0",7284,92082,4466,55808,2818,36274,0.096282000000000006,1118.742978,399.07647134300049,259.39112531350344
"Allnet_0c:ee:ed","Cisco_6d:7b:e0",3513,45018,2216,28250,1297,16768,1.0773379999999999,1118.72144,202.01633035655416,119.90831247499824
"Allnet_0c:f7:93","HonHaiPr_f2:64:17",5132,68150,3027,40884,2105,27266,0.17161399999999999,1118.668674,292.37611421663888,194.98892305622925
"Allnet_0c:f7:8c","HonHaiPr_f2:64:17",5358,70866,3697,49372,1661,21494,0.827986,1118.5453560000001,353.11576583042017,153.72823200921678
"Allnet_0c:f7:8c","Allnet_0c:f7:8c",14418,144180,14418,144180,0,0,2.4393940000000001,1117.317438,1032.3297218601183,0
"Allnet_0c:ee:ed","Allnet_0c:ee:ed",2873,28730,2873,28730,0,0,5.8761260000000002,1113.9226899999999,206.33388839579166,0
"Allnet_0c:ee:ed","HonHaiPr_f2:64:17",2357,30848,1308,17448,1049,13400,1.072716,1113.189012,125.39110474080029,96.299908501073133
"Allnet_0c:f7:8c","Motorola_33:0f:c2",65,746,57,642,8,104,2.5545819999999999,1111.04097,4.6226918166663102,0.74884727248176997
"Allnet_0c:f7:93","Motorola_33:0f:c2",33,372,27,294,6,78,11.083475999999999,1102.3339000000001,2.1336547846346736,0.56607167755613785
"Allnet_0c:f7:93","Allnet_0c:f7:93",1145,11450,1145,11450,0,0,22.608864000000001,1094.41984,83.697313089645746,0
